ID,adj.P.Val,P.Value,t,B,logFC,miRNA_ID,SPOT_ID
hsa-miR-675-5p,0.635,0.160762,-1.596513,-4.697,-0.0548126,hsa-miR-675-5p,
hsa-miR-6511a-5p,0.635,0.161297,-1.594105,-4.699,-0.08217261,hsa-miR-6511a-5p,
hsa-miR-4733-3p,0.635,0.161333,-1.593943,-4.699,-0.02394313,hsa-miR-4733-3p,
hsa-miR-4719,0.635,0.161364,1.593805,-4.7,0.02491237,hsa-miR-4719,
hsa-miR-5701,0.635,0.161382,1.593722,-4.7,0.17452819,hsa-miR-5701,
hsa-miR-6845-5p,0.635,0.161471,-1.593323,-4.7,-0.51197673,hsa-miR-6845-5p,
hsa-miR-5001-5p,0.635,0.161942,-1.591208,-4.703,-0.47940185,hsa-miR-5001-5p,
hsa-miR-4477b,0.635,0.16214,-1.590323,-4.704,-0.03219335,hsa-miR-4477b,
hsa-miR-3680-3p,0.635,0.162305,-1.589584,-4.705,-0.09657668,hsa-miR-3680-3p,
hsa-miR-4758-5p,0.635,0.162514,-1.588652,-4.706,-0.15127674,hsa-miR-4758-5p,
hsa-miR-1587,0.635,0.162566,-1.588419,-4.706,-0.32960475,hsa-miR-1587,
hsa-miR-4436a,0.635,0.162691,-1.587865,-4.706,-0.05976766,hsa-miR-4436a,
hsa-miR-3182,0.635,0.163447,-1.584499,-4.71,-0.05125761,hsa-miR-3182,
hsa-miR-4485-5p,0.635,0.163787,-1.582995,-4.712,-0.89639127,hsa-miR-4485-5p,
hsa-miR-4254,0.635,0.163862,-1.582662,-4.712,-0.03263971,hsa-miR-4254,
hsa-miR-518a-5p,0.635,0.163889,1.582541,-4.713,0.59648734,hsa-miR-518a-5p,
hsa-miR-7114-5p,0.635,0.163996,1.582066,-4.713,0.25059594,hsa-miR-7114-5p,
hsa-miR-4427,0.635,0.164021,-1.581955,-4.713,-0.03125059,hsa-miR-4427,
hsa-miR-642a-3p,0.635,0.164238,-1.580996,-4.714,-0.90683265,hsa-miR-642a-3p,
hsa-miR-6834-5p,0.635,0.164287,-1.580783,-4.715,-0.05756673,hsa-miR-6834-5p,
hsa-miR-181b-3p,0.635,0.164406,1.580255,-4.715,0.04136717,hsa-miR-181b-3p,
hsa-miR-4776-5p,0.635,0.164579,1.579494,-4.716,0.06760731,hsa-miR-4776-5p,
hsa-miR-6503-5p,0.635,0.165231,1.576622,-4.719,0.04010012,hsa-miR-6503-5p,
hsa-miR-630,0.635,0.165797,-1.574139,-4.722,-0.88108,hsa-miR-630,
hsa-miR-1268a,0.635,0.166052,-1.573027,-4.724,-0.65163157,hsa-miR-1268a,
hsa-miR-181b-5p,0.635,0.166349,1.571726,-4.725,0.25988996,hsa-miR-181b-5p,
hsa-miR-5703,0.635,0.166377,-1.571603,-4.725,-0.76991231,hsa-miR-5703,
hsa-miR-6873-5p,0.635,0.166416,-1.571434,-4.725,-0.04689099,hsa-miR-6873-5p,
hsa-miR-3665,0.635,0.166486,-1.571131,-4.726,-0.3900663,hsa-miR-3665,
hsa-miR-1915-3p,0.635,0.166646,-1.570431,-4.726,-0.65313138,hsa-miR-1915-3p,
hsa-miR-4693-5p,0.635,0.167305,1.567565,-4.73,0.04398121,hsa-miR-4693-5p,
hsa-miR-559,0.635,0.167424,1.567047,-4.73,0.03913363,hsa-miR-559,
hsa-miR-585-5p,0.635,0.167518,-1.566642,-4.731,-0.04311134,hsa-miR-585-5p,
hsa-miR-7150,0.635,0.167578,-1.56638,-4.731,-0.85896037,hsa-miR-7150,
hsa-miR-6746-5p,0.635,0.167644,-1.566095,-4.731,-0.12329036,hsa-miR-6746-5p,
hsa-miR-6791-3p,0.635,0.168133,1.563977,-4.734,0.03788368,hsa-miR-6791-3p,
hsa-miR-4485-3p,0.635,0.168228,-1.563569,-4.734,-1.04405579,hsa-miR-4485-3p,
hsa-miR-3136-3p,0.635,0.16824,1.563515,-4.734,0.05021975,hsa-miR-3136-3p,
hsa-miR-182-5p,0.635,0.168735,-1.561381,-4.737,-0.19106143,hsa-miR-182-5p,
hsa-miR-6890-5p,0.635,0.168994,-1.560264,-4.738,-0.093824,hsa-miR-6890-5p,
hsa-miR-4496,0.635,0.169016,-1.56017,-4.738,-0.21948669,hsa-miR-4496,
hsa-miR-2115-5p,0.635,0.169146,1.559613,-4.739,0.05964674,hsa-miR-2115-5p,
hsa-miR-6869-5p,0.635,0.169586,-1.557726,-4.741,-1.06417567,hsa-miR-6869-5p,
hsa-miR-6800-5p,0.635,0.169903,-1.556367,-4.743,-0.78071584,hsa-miR-6800-5p,
hsa-miR-490-3p,0.635,0.169992,1.555984,-4.743,0.11133503,hsa-miR-490-3p,
hsa-miR-124-5p,0.635,0.170062,-1.555688,-4.743,-0.03960462,hsa-miR-124-5p,
hsa-miR-1258,0.635,0.170325,1.554563,-4.745,0.03147214,hsa-miR-1258,
hsa-miR-6854-3p,0.635,0.170404,1.554227,-4.745,0.02505367,hsa-miR-6854-3p,
hsa-miR-7107-5p,0.635,0.170747,-1.552765,-4.747,-1.02514868,hsa-miR-7107-5p,
hsa-miR-548b-3p,0.635,0.17098,1.551771,-4.748,0.03553859,hsa-miR-548b-3p,
hsa-miR-3176,0.635,0.171211,1.550789,-4.749,0.06630711,hsa-miR-3176,
hsa-miR-7844-5p,0.635,0.171332,-1.550278,-4.75,-0.10260601,hsa-miR-7844-5p,
hsa-miR-653-5p,0.635,0.171588,1.549191,-4.751,0.04394573,hsa-miR-653-5p,
hsa-miR-499b-3p,0.635,0.171927,1.547754,-4.752,0.05488988,hsa-miR-499b-3p,
hsa-miR-3618,0.635,0.172916,1.543581,-4.757,0.04183111,hsa-miR-3618,
hsa-miR-3942-3p,0.635,0.172954,1.54342,-4.757,0.04438831,hsa-miR-3942-3p,
hsa-miR-192-3p,0.635,0.173015,1.543161,-4.758,0.05184376,hsa-miR-192-3p,
hsa-miR-1272,0.635,0.17303,1.543101,-4.758,0.0373111,hsa-miR-1272,
hsa-miR-217,0.635,0.173169,1.542516,-4.758,0.06164615,hsa-miR-217,
hsa-miR-6852-3p,0.635,0.17317,-1.542513,-4.758,-0.04307837,hsa-miR-6852-3p,
hsa-miR-1277-3p,0.635,0.173298,1.541975,-4.759,0.02945298,hsa-miR-1277-3p,
hsa-miR-6873-3p,0.635,0.173325,1.541863,-4.759,0.03365892,hsa-miR-6873-3p,
hsa-miR-4505,0.635,0.173722,-1.540193,-4.761,-0.45886699,hsa-miR-4505,
hsa-miR-4479,0.635,0.174053,-1.538808,-4.763,-0.07535977,hsa-miR-4479,
hsa-miR-1250-3p,0.635,0.174767,-1.535829,-4.766,-0.04137493,hsa-miR-1250-3p,
hsa-miR-6515-3p,0.635,0.175315,-1.533549,-4.769,-0.09202716,hsa-miR-6515-3p,
hsa-miR-3671,0.635,0.175569,1.532495,-4.77,0.03836396,hsa-miR-3671,
hsa-miR-337-3p,0.635,0.175574,1.532473,-4.77,0.54007818,hsa-miR-337-3p,
hsa-miR-124-3p,0.635,0.175777,-1.531631,-4.771,-0.03076267,hsa-miR-124-3p,
hsa-miR-3156-3p,0.635,0.175971,1.530828,-4.772,0.03973254,hsa-miR-3156-3p,
hsa-miR-4327,0.635,0.176464,-1.528789,-4.774,-0.37390305,hsa-miR-4327,
hsa-miR-517c-3p,0.635,0.176492,1.528672,-4.774,0.70022568,hsa-miR-517c-3p,
hsa-miR-525-5p,0.635,0.176564,1.528375,-4.774,0.88365351,hsa-miR-525-5p,
hsa-miR-1233-5p,0.635,0.176688,1.527863,-4.775,0.12449974,hsa-miR-1233-5p,
hsa-miR-6887-3p,0.635,0.176821,1.527318,-4.776,0.02840477,hsa-miR-6887-3p,
hsa-miR-337-5p,0.635,0.177517,1.524453,-4.779,0.81077982,hsa-miR-337-5p,
hsa-miR-4324,0.635,0.177808,1.52326,-4.78,0.19504281,hsa-miR-4324,
hsa-miR-596,0.635,0.177865,1.523024,-4.78,0.04448475,hsa-miR-596,
hsa-miR-193b-5p,0.635,0.178027,-1.522362,-4.781,-0.57350014,hsa-miR-193b-5p,
hsa-miR-1471,0.635,0.178065,-1.522205,-4.781,-0.16796631,hsa-miR-1471,
hsa-miR-372-3p,0.635,0.17834,1.521082,-4.783,0.67030829,hsa-miR-372-3p,
hsa-miR-589-5p,0.635,0.178919,1.518716,-4.785,0.0429172,hsa-miR-589-5p,
hsa-miR-34a-5p,0.635,0.179005,-1.518365,-4.786,-0.23959301,hsa-miR-34a-5p,
hsa-let-7e-5p,0.635,0.180009,1.514288,-4.79,0.52347019,hsa-let-7e-5p,
hsa-miR-6128,0.635,0.180156,1.513692,-4.791,0.04448365,hsa-miR-6128,
hsa-miR-7851-3p,0.635,0.180381,-1.512779,-4.792,-0.10883577,hsa-miR-7851-3p,
hsa-miR-6840-5p,0.635,0.180444,-1.512525,-4.792,-0.03286989,hsa-miR-6840-5p,
hsa-miR-7108-3p,0.635,0.180531,-1.512173,-4.793,-0.0371777,hsa-miR-7108-3p,
hsa-miR-3610,0.635,0.180668,-1.511621,-4.793,-0.10811267,hsa-miR-3610,
hsa-miR-6761-5p,0.635,0.18111,-1.509835,-4.795,-0.03694316,hsa-miR-6761-5p,
hsa-miR-4477a,0.635,0.181113,1.509824,-4.795,0.0286339,hsa-miR-4477a,
hsa-miR-181a-5p,0.635,0.181321,1.508986,-4.796,0.52300057,hsa-miR-181a-5p,
hsa-miR-140-3p,0.635,0.181512,-1.508216,-4.797,-0.1727207,hsa-miR-140-3p,
hsa-miR-3163,0.635,0.181612,-1.507814,-4.798,-0.05660525,hsa-miR-3163,
hsa-miR-518b,0.635,0.182007,1.506231,-4.799,0.92181859,hsa-miR-518b,
hsa-miR-3972,0.635,0.182263,-1.505201,-4.801,-0.02841106,hsa-miR-3972,
hsa-miR-377-3p,0.635,0.182529,1.50414,-4.802,0.89368383,hsa-miR-377-3p,
hsa-miR-19b-2-5p,0.635,0.182762,1.503208,-4.803,0.02894137,hsa-miR-19b-2-5p,
hsa-miR-921,0.635,0.183423,-1.500569,-4.806,-0.0410439,hsa-miR-921,
hsa-miR-618,0.635,0.183688,1.499516,-4.807,0.03767383,hsa-miR-618,
hsa-miR-5581-5p,0.635,0.184234,1.497345,-4.809,0.13773708,hsa-miR-5581-5p,
hsa-miR-4432,0.635,0.184278,1.49717,-4.81,0.04237812,hsa-miR-4432,
hsa-miR-4639-3p,0.635,0.184457,1.496464,-4.81,0.04953103,hsa-miR-4639-3p,
hsa-miR-3192-5p,0.635,0.184557,1.496065,-4.811,0.03783375,hsa-miR-3192-5p,
hsa-miR-3122,0.635,0.185064,1.494061,-4.813,0.02773567,hsa-miR-3122,
hsa-miR-6882-5p,0.635,0.185181,-1.493597,-4.814,-0.07443492,hsa-miR-6882-5p,
hsa-miR-6751-5p,0.635,0.185192,-1.493555,-4.814,-0.05263695,hsa-miR-6751-5p,
hsa-miR-597-3p,0.635,0.185384,-1.492797,-4.815,-0.0528228,hsa-miR-597-3p,
hsa-miR-208a-3p,0.635,0.185607,1.491917,-4.816,0.02490125,hsa-miR-208a-3p,
hsa-miR-4752,0.635,0.185667,1.491681,-4.816,0.03819867,hsa-miR-4752,
hsa-let-7f-2-3p,0.635,0.185931,-1.490644,-4.817,-0.04012497,hsa-let-7f-2-3p,
hsa-miR-520d-3p,0.635,0.185952,1.490561,-4.817,0.57338087,hsa-miR-520d-3p,
hsa-miR-4649-3p,0.635,0.186311,1.48915,-4.819,0.06744808,hsa-miR-4649-3p,
hsa-miR-6851-5p,0.635,0.186344,-1.48902,-4.819,-0.14349785,hsa-miR-6851-5p,
hsa-miR-605-3p,0.635,0.186735,1.487489,-4.82,0.03393659,hsa-miR-605-3p,
hsa-miR-6829-5p,0.635,0.186819,-1.48716,-4.821,-0.25775526,hsa-miR-6829-5p,
hsa-miR-373-3p,0.635,0.186842,1.487068,-4.821,0.47000792,hsa-miR-373-3p,
hsa-miR-4761-3p,0.635,0.187138,-1.485912,-4.822,-0.03020742,hsa-miR-4761-3p,
hsa-miR-190a-5p,0.635,0.187207,-1.48564,-4.823,-0.11309148,hsa-miR-190a-5p,
hsa-miR-32-5p,0.636,0.187769,1.483446,-4.825,0.22581187,hsa-miR-32-5p,
hsa-miR-299-3p,0.636,0.188943,1.478885,-4.83,0.50387164,hsa-miR-299-3p,
hsa-miR-4251,0.636,0.189443,-1.47695,-4.832,-0.0803691,hsa-miR-4251,
hsa-miR-98-3p,0.636,0.189922,1.475101,-4.834,0.0455837,hsa-miR-98-3p,
hsa-miR-552-5p,0.636,0.189982,1.474872,-4.835,0.02821211,hsa-miR-552-5p,
hsa-miR-548e-5p,0.636,0.190024,1.47471,-4.835,0.03716353,hsa-miR-548e-5p,
hsa-miR-127-5p,0.636,0.190092,1.474447,-4.835,0.07197633,hsa-miR-127-5p,
hsa-miR-3663-3p,0.636,0.190156,-1.474198,-4.835,-0.59043398,hsa-miR-3663-3p,
hsa-miR-501-3p,0.636,0.190177,1.474119,-4.835,0.06670888,hsa-miR-501-3p,
hsa-miR-3147,0.636,0.190322,-1.47356,-4.836,-0.1419673,hsa-miR-3147,
hsa-miR-5696,0.636,0.19041,-1.473221,-4.836,-0.02927996,hsa-miR-5696,
hsa-miR-5590-3p,0.636,0.190548,1.472693,-4.837,0.05416634,hsa-miR-5590-3p,
hsa-miR-4459,0.637,0.191211,-1.470147,-4.84,-0.38601781,hsa-miR-4459,
hsa-miR-146a-3p,0.637,0.191449,-1.469234,-4.841,-0.03948548,hsa-miR-146a-3p,
hsa-miR-219a-1-3p,0.638,0.191811,1.467851,-4.842,0.02667599,hsa-miR-219a-1-3p,
hsa-miR-4277,0.638,0.192031,-1.467011,-4.843,-0.04939466,hsa-miR-4277,
hsa-miR-4709-3p,0.638,0.192483,-1.465289,-4.845,-0.04081312,hsa-miR-4709-3p,
hsa-miR-548q,0.638,0.192722,-1.464379,-4.846,-0.21954712,hsa-miR-548q,
hsa-miR-6850-3p,0.639,0.19317,1.462675,-4.848,0.03602131,hsa-miR-6850-3p,
hsa-miR-6892-5p,0.64,0.19441,-1.457983,-4.853,-0.06842934,hsa-miR-6892-5p,
hsa-miR-7161-3p,0.64,0.19457,1.457379,-4.854,0.04307594,hsa-miR-7161-3p,
hsa-miR-1207-5p,0.64,0.194591,-1.457301,-4.854,-0.76330166,hsa-miR-1207-5p,
hsa-miR-4688,0.64,0.194685,-1.456947,-4.855,-0.10076293,hsa-miR-4688,
hsa-miR-151a-3p,0.64,0.194876,-1.456225,-4.855,-0.24470607,hsa-miR-151a-3p,
hsa-miR-1273g-5p,0.64,0.195023,-1.455671,-4.856,-0.08495836,hsa-miR-1273g-5p,
hsa-miR-576-5p,0.641,0.195554,-1.453678,-4.858,-0.03584549,hsa-miR-576-5p,
hsa-miR-6815-3p,0.641,0.195995,-1.452025,-4.86,-0.03571003,hsa-miR-6815-3p,
hsa-miR-4294,0.641,0.196095,-1.451647,-4.86,-0.0459285,hsa-miR-4294,
hsa-miR-4669,0.642,0.196504,-1.45012,-4.862,-0.35953381,hsa-miR-4669,
hsa-miR-3192-3p,0.642,0.196882,1.448709,-4.864,0.03118102,hsa-miR-3192-3p,
hsa-miR-196a-3p,0.642,0.197334,1.447023,-4.866,0.05283379,hsa-miR-196a-3p,
hsa-miR-1976,0.642,0.197551,-1.446215,-4.867,-0.02711225,hsa-miR-1976,
hsa-miR-520g-3p,0.642,0.197561,1.446178,-4.867,0.70165626,hsa-miR-520g-3p,
hsa-miR-6726-5p,0.643,0.198014,-1.444498,-4.868,-0.09803063,hsa-miR-6726-5p,
hsa-miR-1910-3p,0.643,0.198374,1.443161,-4.87,0.05998954,hsa-miR-1910-3p,
hsa-miR-524-3p,0.643,0.198799,1.44159,-4.872,0.68244619,hsa-miR-524-3p,
hsa-miR-6833-5p,0.643,0.198809,-1.441554,-4.872,-0.27473546,hsa-miR-6833-5p,
hsa-miR-34b-5p,0.643,0.199249,1.439927,-4.873,0.35133756,hsa-miR-34b-5p,
hsa-miR-4304,0.645,0.199934,-1.437404,-4.876,-0.04399366,hsa-miR-4304,
hsa-miR-6891-5p,0.646,0.200697,-1.434604,-4.879,-0.69234581,hsa-miR-6891-5p,
hsa-miR-584-3p,0.646,0.200722,1.434512,-4.879,0.02627728,hsa-miR-584-3p,
hsa-miR-526b-5p,0.646,0.201614,1.43125,-4.883,0.79146569,hsa-miR-526b-5p,
hsa-miR-3591-3p,0.646,0.201767,-1.430692,-4.884,-0.03904115,hsa-miR-3591-3p,
hsa-miR-4804-5p,0.646,0.202464,1.428156,-4.886,0.03591432,hsa-miR-4804-5p,
hsa-miR-491-3p,0.646,0.202778,-1.427013,-4.888,-0.0436882,hsa-miR-491-3p,
hsa-miR-521,0.646,0.202945,1.426409,-4.888,0.85017994,hsa-miR-521,
hsa-miR-1468-3p,0.646,0.203045,1.426046,-4.889,0.0333153,hsa-miR-1468-3p,
hsa-miR-6768-3p,0.646,0.203052,1.42602,-4.889,0.02357407,hsa-miR-6768-3p,
hsa-miR-6722-3p,0.646,0.203335,-1.424996,-4.89,-0.49137223,hsa-miR-6722-3p,
hur_2,0.646,0.20343,1.42465,-4.89,0.14228234,,hur_2
hsa-miR-3684,0.646,0.203497,1.424407,-4.891,0.02738602,hsa-miR-3684,
hsa-miR-7846-3p,0.649,0.204818,-1.419641,-4.896,-0.51315379,hsa-miR-7846-3p,
hsa-miR-4651,0.649,0.204889,-1.419387,-4.896,-0.1798457,hsa-miR-4651,
hsa-miR-4687-3p,0.649,0.204983,-1.419048,-4.897,-1.15341532,hsa-miR-4687-3p,
hsa-miR-7975,0.649,0.20547,1.417299,-4.898,0.17878093,hsa-miR-7975,
hsa-miR-4257,0.649,0.205783,-1.416179,-4.9,-0.15400825,hsa-miR-4257,
hsa-miR-4710,0.649,0.20588,-1.41583,-4.9,-0.15516452,hsa-miR-4710,
hsa-miR-371b-5p,0.649,0.206002,-1.415394,-4.901,-0.61173665,hsa-miR-371b-5p,
hsa-miR-153-5p,0.649,0.206442,-1.41382,-4.902,-0.02341889,hsa-miR-153-5p,
hsa-miR-7848-3p,0.651,0.207505,1.410034,-4.906,0.03886108,hsa-miR-7848-3p,
hsa-miR-5587-3p,0.651,0.20772,1.409269,-4.907,0.05374681,hsa-miR-5587-3p,
hsa-miR-936,0.651,0.20774,-1.4092,-4.907,-0.12418,hsa-miR-936,
hsa-miR-3928-5p,0.651,0.208181,1.407634,-4.909,0.03290398,hsa-miR-3928-5p,
hsa-miR-345-5p,0.651,0.2083,-1.407213,-4.909,-0.07969734,hsa-miR-345-5p,
hsa-miR-133b,0.652,0.209061,1.404523,-4.912,0.37790411,hsa-miR-133b,
hsa-miR-4462,0.652,0.209106,-1.404363,-4.913,-0.1064744,hsa-miR-4462,
hsa-miR-6075,0.652,0.20947,-1.403079,-4.914,-0.15507889,hsa-miR-6075,
hsa-miR-5587-5p,0.652,0.21042,-1.399739,-4.918,-0.03900557,hsa-miR-5587-5p,
hsa-miR-876-5p,0.652,0.210547,-1.399294,-4.918,-0.03979785,hsa-miR-876-5p,
hsa-miR-569,0.652,0.210582,1.399169,-4.918,0.03605648,hsa-miR-569,
hsa-miR-4632-3p,0.652,0.210625,-1.399021,-4.918,-0.02827872,hsa-miR-4632-3p,
hsa-miR-6731-3p,0.652,0.210645,1.398949,-4.919,0.04929406,hsa-miR-6731-3p,
hsa-miR-136-3p,0.652,0.211225,1.396919,-4.921,0.81079318,hsa-miR-136-3p,
hsa-miR-4999-3p,0.652,0.211804,1.394896,-4.923,0.04810847,hsa-miR-4999-3p,
hsa-miR-5586-3p,0.652,0.211885,1.394612,-4.923,0.03673693,hsa-miR-5586-3p,
hsa-miR-6752-5p,0.652,0.212135,-1.393742,-4.924,-0.78210164,hsa-miR-6752-5p,
hsa-let-7g-3p,0.652,0.212171,-1.393617,-4.924,-0.03039897,hsa-let-7g-3p,
hsa-miR-4725-3p,0.652,0.212359,-1.392962,-4.925,-0.04338061,hsa-miR-4725-3p,
hsa-miR-4765,0.652,0.212579,1.392195,-4.926,0.04357132,hsa-miR-4765,
hsa-miR-4639-5p,0.652,0.213019,1.39067,-4.928,0.02825625,hsa-miR-4639-5p,
hsa-miR-1227-5p,0.652,0.213483,-1.38906,-4.929,-0.40522586,hsa-miR-1227-5p,
hsa-miR-376b-5p,0.652,0.213842,1.387818,-4.931,0.06105312,hsa-miR-376b-5p,
hsa-miR-6806-5p,0.652,0.21389,-1.387651,-4.931,-0.15303081,hsa-miR-6806-5p,
hsa-miR-1252-3p,0.652,0.214098,1.386933,-4.932,0.03403756,hsa-miR-1252-3p,
hsa-miR-4533,0.652,0.214125,-1.38684,-4.932,-0.03014807,hsa-miR-4533,
hsa-miR-187-3p,0.652,0.214672,1.384953,-4.934,0.03407558,hsa-miR-187-3p,
hsa-miR-548at-5p,0.652,0.215473,1.382194,-4.937,0.02672278,hsa-miR-548at-5p,
hsa-miR-6886-3p,0.652,0.215525,-1.382016,-4.937,-0.04165927,hsa-miR-6886-3p,
hsa-miR-1264,0.652,0.21555,1.381931,-4.937,0.02088638,hsa-miR-1264,
hsa-miR-548ag,0.652,0.215555,1.381913,-4.937,0.03116345,hsa-miR-548ag,
hsa-miR-612,0.652,0.215702,-1.381409,-4.938,-0.03820811,hsa-miR-612,
hsa-miR-101-3p,0.652,0.215791,1.381104,-4.938,0.2957411,hsa-miR-101-3p,
hsa-miR-6737-5p,0.652,0.216244,-1.379552,-4.94,-0.0377049,hsa-miR-6737-5p,
hsa-miR-6087,0.652,0.216307,-1.379337,-4.94,-0.76978253,hsa-miR-6087,
hsa-miR-6779-5p,0.653,0.216569,-1.378439,-4.941,-0.18318163,hsa-miR-6779-5p,
hsa-miR-3202,0.653,0.217532,-1.375155,-4.944,-0.11898935,hsa-miR-3202,
hsa-miR-3183,0.653,0.217617,1.374864,-4.945,0.03484268,hsa-miR-3183,
hsa-miR-939-5p,0.653,0.217773,-1.374334,-4.945,-0.40859083,hsa-miR-939-5p,
hsa-miR-4436b-3p,0.653,0.218257,-1.372689,-4.947,-0.08303114,hsa-miR-4436b-3p,
hsa-miR-6502-5p,0.653,0.218404,1.37219,-4.948,0.02938388,hsa-miR-6502-5p,
hsa-miR-6845-3p,0.653,0.218612,1.371484,-4.948,0.03368426,hsa-miR-6845-3p,
hsa-miR-422a,0.653,0.218675,-1.371271,-4.949,-0.05303001,hsa-miR-422a,
hsa-miR-4419a,0.653,0.218874,-1.370596,-4.949,-0.13847802,hsa-miR-4419a,
hsa-miR-3175,0.657,0.220306,1.365762,-4.955,0.04670269,hsa-miR-3175,
hsa-miR-548p,0.657,0.22081,1.364067,-4.956,0.03551183,hsa-miR-548p,
hsa-miR-572,0.657,0.221278,-1.362496,-4.958,-0.30768428,hsa-miR-572,
hsa-miR-599,0.657,0.221822,1.360674,-4.96,0.04987746,hsa-miR-599,
hsa-miR-4635,0.657,0.221825,1.360664,-4.96,0.04005145,hsa-miR-4635,
hsa-miR-6794-5p,0.657,0.222027,-1.359987,-4.961,-0.49943888,hsa-miR-6794-5p,
hsa-miR-424-5p,0.657,0.222402,1.358737,-4.962,1.03029016,hsa-miR-424-5p,
hsa-miR-515-3p,0.657,0.222436,1.358623,-4.962,0.59982604,hsa-miR-515-3p,
hsa-miR-4768-5p,0.657,0.222491,-1.35844,-4.962,-0.05301367,hsa-miR-4768-5p,
hsa-miR-6821-5p,0.657,0.22259,-1.358107,-4.963,-0.80019884,hsa-miR-6821-5p,
hsa-miR-4800-5p,0.658,0.223415,-1.355363,-4.966,-0.27007724,hsa-miR-4800-5p,
hsa-miR-378j,0.658,0.223597,-1.354758,-4.966,-0.03717816,hsa-miR-378j,
hsa-miR-656-5p,0.658,0.223817,1.354026,-4.967,0.03626155,hsa-miR-656-5p,
hsa-miR-551a,0.658,0.224171,-1.352853,-4.968,-0.03153943,hsa-miR-551a,
hsa-miR-125b-2-3p,0.658,0.224401,-1.352089,-4.969,-0.09483434,hsa-miR-125b-2-3p,
hsa-miR-6758-5p,0.658,0.224848,-1.350612,-4.971,-0.08424951,hsa-miR-6758-5p,
hsa-miR-937-5p,0.658,0.225038,-1.349985,-4.972,-0.14526929,hsa-miR-937-5p,
hsa-miR-6076,0.658,0.225349,-1.348959,-4.973,-0.45696289,hsa-miR-6076,
hsa-miR-1279,0.658,0.225379,1.348858,-4.973,0.0326928,hsa-miR-1279,
hsa-miR-6854-5p,0.659,0.225773,1.34756,-4.974,0.02692545,hsa-miR-6854-5p,
hsa-miR-6724-5p,0.661,0.226749,-1.344354,-4.978,-0.38602077,hsa-miR-6724-5p,
hsa-miR-4665-3p,0.661,0.227012,-1.34349,-4.979,-0.06470362,hsa-miR-4665-3p,
hsa-miR-29a-3p,0.661,0.227915,-1.340536,-4.982,-0.33773164,hsa-miR-29a-3p,
hsa-miR-4671-3p,0.661,0.227927,1.340498,-4.982,0.02822819,hsa-miR-4671-3p,
hsa-miR-196a-5p,0.661,0.227998,-1.340265,-4.982,-0.35268542,hsa-miR-196a-5p,
hsa-miR-591,0.662,0.228311,-1.339245,-4.983,-0.0282028,hsa-miR-591,
hsa-miR-519d-3p,0.662,0.228906,1.337308,-4.985,0.67696934,hsa-miR-519d-3p,
hsa-miR-602,0.663,0.229379,1.335769,-4.987,0.03803003,hsa-miR-602,
hsa-miR-27b-3p,0.663,0.229602,1.335046,-4.988,0.51789371,hsa-miR-27b-3p,
hsa-miR-6786-5p,0.664,0.230196,-1.333121,-4.99,-0.48806331,hsa-miR-6786-5p,
hsa-miR-7152-3p,0.664,0.230436,-1.332345,-4.99,-0.08974842,hsa-miR-7152-3p,
hsa-miR-4646-3p,0.665,0.230954,1.330672,-4.992,0.02281506,hsa-miR-4646-3p,
hsa-miR-190b,0.665,0.231452,1.329067,-4.994,0.05568676,hsa-miR-190b,
hsa-miR-222-5p,0.667,0.232539,1.325574,-4.998,0.05519877,hsa-miR-222-5p,
hsa-miR-6777-5p,0.667,0.232638,-1.325258,-4.998,-0.0900103,hsa-miR-6777-5p,
hsa-miR-590-5p,0.668,0.233183,1.323512,-5,0.26843423,hsa-miR-590-5p,
hsa-miR-548k,0.674,0.235615,1.315765,-5.008,0.04213627,hsa-miR-548k,
hsa-miR-671-5p,0.676,0.236475,-1.313044,-5.011,-0.27254066,hsa-miR-671-5p,
hsa-miR-517a-3p,0.677,0.23703,1.311293,-5.013,0.53307094,hsa-miR-517a-3p,
hsa-miR-208a-5p,0.678,0.237667,-1.309289,-5.015,-0.06063367,hsa-miR-208a-5p,
hsa-miR-3074-3p,0.679,0.238346,-1.307155,-5.017,-0.02745628,hsa-miR-3074-3p,
hsa-miR-4700-3p,0.681,0.240018,-1.301926,-5.023,-0.03363913,hsa-miR-4700-3p,
hsa-miR-1911-3p,0.681,0.240119,1.30161,-5.023,0.03543412,hsa-miR-1911-3p,
hsa-miR-4500,0.681,0.24041,-1.300704,-5.024,-0.13369431,hsa-miR-4500,
hsa-miR-4429,0.681,0.24044,-1.300612,-5.024,-0.09937108,hsa-miR-4429,
hsa-miR-6798-3p,0.681,0.240457,-1.30056,-5.024,-0.03270926,hsa-miR-6798-3p,
hsa-miR-6785-3p,0.681,0.240671,1.299893,-5.025,0.02850496,hsa-miR-6785-3p,
hsa-miR-4703-3p,0.681,0.240712,-1.299765,-5.025,-0.0411048,hsa-miR-4703-3p,
hsa-miR-4633-3p,0.682,0.24216,1.295272,-5.03,0.02620818,hsa-miR-4633-3p,
hsa-miR-148a-3p,0.682,0.242205,-1.295134,-5.03,-0.46889299,hsa-miR-148a-3p,
hsa-miR-6741-3p,0.682,0.242312,1.294803,-5.03,0.03669485,hsa-miR-6741-3p,
hsa-miR-6792-5p,0.682,0.24243,-1.294437,-5.031,-0.06515502,hsa-miR-6792-5p,
